city,contact_name,country,lastextracted,latitude,longitude,objectkey,retailer_name,spider_name,state,store_email,store_id,store_name,store_phone,store_url,street_address,zip_code
Sidney,,United States,2023-02-19 11:04:08.000074,41.14495334130881,-102.98933477732129,None:(308) 254-4767,Safeway,scrapy/safeway,NE,,(308) 254-4767,Safeway Illinois St,(308) 254-4767,https://local.safeway.com/safeway/ne/sidney/1944-illinois-st.html,1944 Illinois St,69162
Scottsbluff,,United States,2023-02-19 11:04:08.047952,41.8542611,-103.6615441,None:(308) 635-1232,Safeway,scrapy/safeway,NE,,(308) 635-1232,Safeway Broadway,(308) 635-1232,https://local.safeway.com/safeway/ne/scottsbluff/601-broadway.html,601 Broadway,69361
Ogallala,,United States,2023-02-19 11:04:08.080862,41.12978128226325,-101.71958775850732,None:(308) 284-4044,Safeway,scrapy/safeway,NE,,(308) 284-4044,Safeway N Spruce St,(308) 284-4044,https://local.safeway.com/safeway/ne/ogallala/611-n-spruce-st.html,611 N Spruce St,69153
Wheatland,,United States,2023-02-19 11:04:08.147682,42.060747,-104.9645316,None:(307) 322-4530,Safeway,scrapy/safeway,WY,,(307) 322-4530,Safeway 16th St,(307) 322-4530,https://local.safeway.com/safeway/wy/wheatland/1307-16th-st.html,1307 16th St,82201
Douglas,,United States,2023-02-19 11:04:08.180596,42.74441625044588,-105.3617248232788,None:(307) 358-3446,Safeway,scrapy/safeway,WY,,(307) 358-3446,Safeway Richards St,(307) 358-3446,https://local.safeway.com/safeway/wy/douglas/1900-e-richards-st.html,1900 E Richards St,82633
Cheyenne,,United States,2023-02-19 11:04:08.244675,41.110864,-104.802451,None:(307) 635-7877,Safeway,scrapy/safeway,WY,,(307) 635-7877,Safeway Greeley Hwy,(307) 635-7877,https://local.safeway.com/safeway/wy/cheyenne/700-s-greeley-hwy.html,700 S Greeley Hwy,82007
Laramie,,United States,2023-02-19 11:04:08.282502,41.3170093,-105.5949072,None:(307) 721-5107,Safeway,scrapy/safeway,WY,,(307) 721-5107,Safeway N Third St,(307) 721-5107,https://local.safeway.com/safeway/wy/laramie/554-n-3rd-st.html,554 N 3rd St,82072
Lander,,United States,2023-02-19 11:04:08.368271,42.8377411,-108.7464227,None:(307) 332-3636,Safeway,scrapy/safeway,WY,,(307) 332-3636,Safeway Main St,(307) 332-3636,https://local.safeway.com/safeway/wy/lander/1165-w-main-st.html,1165 W Main St,82520
Chadron,,United States,2023-02-19 11:04:08.408164,42.830457144718736,-103.00273509355975,None:(308) 432-4428,Safeway,scrapy/safeway,NE,,(308) 432-4428,Safeway Morehead St,(308) 432-4428,https://local.safeway.com/safeway/ne/chadron/230-morehead-st.html,230 Morehead St,69337
Alliance,,United States,2023-02-19 11:04:08.443071,42.0977929,-102.8643795,None:(308) 762-4661,Safeway,scrapy/safeway,NE,,(308) 762-4661,Safeway E Third St,(308) 762-4661,https://local.safeway.com/safeway/ne/alliance/500-e-3rd-st.html,500 E 3rd St,69301
Zephyr Cove,,United States,2023-02-19 11:04:08.478976,38.98638604743675,-119.9436806558197,None:(775) 586-8387,Safeway,scrapy/safeway,NV,,(775) 586-8387,Safeway Elks Point Rd,(775) 586-8387,https://local.safeway.com/safeway/nv/zephyr-cove/212-elks-point-rd.html,212 Elks Point Rd,89448
Sparks,,United States,2023-02-19 11:04:08.565743,39.5555452,-119.7034489,None:(775) 352-8470,Safeway,scrapy/safeway,NV,,(775) 352-8470,Safeway Vista Blvd,(775) 352-8470,https://local.safeway.com/safeway/nv/sparks/2858-vista-blvd.html,2858 Vista Blvd,89434
Lovelock,,United States,2023-02-19 11:04:08.596660,40.1799817,-118.4770114,None:(775) 273-2418,Safeway,scrapy/safeway,NV,,(775) 273-2418,Safeway Dartmouth Ave,(775) 273-2418,https://local.safeway.com/safeway/nv/lovelock/400-dartmouth-ave.html,400 Dartmouth Ave,89419
Hawthorne,,United States,2023-02-19 11:04:08.629572,38.53526501909742,-118.63073063558198,None:(775) 945-2159,Safeway,scrapy/safeway,NV,,(775) 945-2159,Safeway Hwy 95,(775) 945-2159,https://local.safeway.com/safeway/nv/hawthorne/1095-hwy-95.html,1095 Hwy 95,89415
Fallon,,United States,2023-02-19 11:04:08.663636,39.4771646284473,-118.7871086597442,None:(775) 428-2330,Safeway,scrapy/safeway,NV,,(775) 428-2330,Safeway Williams Ave,(775) 428-2330,https://local.safeway.com/safeway/nv/fallon/890-w-williams-ave.html,890 W Williams Ave,89406
Warrenton,,United States,2023-02-19 11:04:08.739625,38.7305403,-77.7973042,None:(540) 347-7909,Safeway,scrapy/safeway,VA,,(540) 347-7909,Safeway Lee Hwy,(540) 347-7909,https://local.safeway.com/safeway/va/warrenton/189-w-lee-hwy.html,189 W Lee Hwy,20186
Waipahu,,United States,2023-02-19 11:04:08.777421,21.398514323277563,-158.00792815337294,None:(808) 664-7725,Safeway,scrapy/safeway,HI,,(808) 664-7725,Safeway Lumiaina St,(808) 664-7725,https://local.safeway.com/safeway/hi/waipahu/94-809-lumiaina-st.html,94-809 Lumiaina St,96797
Wailuku,,United States,2023-02-19 11:04:08.863578,20.88743214801068,-156.49307170716833,None:(808) 243-3522,Safeway,scrapy/safeway,HI,,(808) 243-3522,Safeway Maui Lani Pkwy,(808) 243-3522,https://local.safeway.com/safeway/hi/wailuku/58-maui-lani-pkwy-suite-5000.html,58 Maui Lani Pkwy Suite 5000,96793
Redmond,,United States,2023-02-19 11:04:08.904448,44.2607574,-121.1796264,None:(541) 504-4160,Safeway,scrapy/safeway,OR,,(541) 504-4160,Safeway S Hwy 97,(541) 504-4160,https://local.safeway.com/safeway/or/redmond/1705-s-hwy-97.html,1705 S Hwy 97,97756
Lihue,,United States,2023-02-19 11:04:08.938384,21.96867570501419,-159.38570000025481,None:(808) 246-0290,Safeway,scrapy/safeway,HI,,(808) 246-0290,Safeway Nuhou St,(808) 246-0290,https://local.safeway.com/safeway/hi/lihue/4454-nuhou-st-suite--301.html,4454 Nuhou St Suite #301,96766
Pasadena,,United States,2023-02-19 11:04:08.975286,39.1203968,-76.5143898,None:(410) 439-4560,Safeway,scrapy/safeway,MD,,(410) 439-4560,Safeway Mountain Rd,(410) 439-4560,https://local.safeway.com/safeway/md/pasadena/4211-mountain-rd.html,4211 Mountain Rd,21122
